ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,biovolume
0,D,11,Plagioselmis,Plagioselmis,878.85,small,CryRho000_3202546,I,541.41441159585
0,D,11,Centrales,Centrales,403.2,small,BacCyc000_3193095,VI,0.00236318321949881
0,D,11,Cryptomonas,Cryptomonas,72.45,small,CryCry000_3202413,V,0.398027905928526
0,D,11,Golenkinia,Golenkinia,3.15,small,ChlGolrad_2641100,IV,6755.68084227949
0,D,11,Merismopedia,Merismopedia,9.45,small,CyaMer000_0000000,I,1338.07646276977
0,D,11,Chrysochromulina,Chrysochromulina,15.75,small,PryChr000_3202213,I,6.36031360045307
0,D,11,Quadrigula,Quadrigula,6.3,small,ChlQua000_2641259,IV,6947.00383488311
0,D,11,Chlamydomonas,Chlamydomonas,6.3,small,ChlChl000_5271004,I,0.0774580925085368
0,E,9,Plagioselmis,Plagioselmis,647.854166666667,small,CryRho000_3202546,I,399.109725716281
0,E,9,Centrales,Centrales,408.375,small,BacCyc000_3193095,VI,0.00239351425412408
0,E,9,Cryptomonas,Cryptomonas,85.7083333333333,small,CryCry000_3202413,V,0.470866921149631
0,E,9,Chrysochromulina,Chrysochromulina,2.52083333333333,small,PryChr000_3202213,I,1.01798670060161
0,E,9,Chlamydomonas,Chlamydomonas,70.5833333333333,small,ChlChl000_5271004,I,0.867817517919718
0,E,9,Merismopedia,Merismopedia,17.6458333333333,small,CyaMer000_0000000,I,2498.56870362874
0,E,9,Koliella,Koliella,2.52083333333333,small,TreKollon_2638730,IV,2.8046315896317e-07
0,I,12,Plagioselmis,Plagioselmis,425.618181818182,small,CryRho000_3202546,I,262.201533223629
0,I,12,Centrales,Centrales,210.722727272727,small,BacCyc000_3193095,VI,0.00123506054825876
0,I,12,Cryptomonas,Cryptomonas,85.5409090909091,small,CryCry000_3202413,V,0.469947121003133
0,I,12,Chrysochromulina,Chrysochromulina,6.25909090909091,small,PryChr000_3202213,I,2.52760514511511
0,I,12,Chlamydomonas,Chlamydomonas,39.6409090909091,small,ChlChl000_5271004,I,0.487382413251767
0,I,12,Golenkinia,Golenkinia,2.08636363636364,small,ChlGolrad_2641100,IV,4474.54185657473
0,I,12,Tetraedron,Tetraedron,4.17272727272727,small,ChlTet000_2672378,IV,112.663636363636
0,I,12,Oocystis,Oocystis,2.08636363636364,small,TreOoc000_2641454,IV,0.0498543215500839
0,I,12,Merismopedia,Merismopedia,4.17272727272727,small,CyaMer000_0000000,I,590.838957586652
